bar,source,symbol,n_bars,first,last,age_hours,n_gaps,max_gap_hours,zero_vol_share,spike_bars,ohlc_bad,flagged,reasons,blacklist_candidate
15m,okx,0G_USDT_SWAP,27854,2025-09-22,2026-07-09 13:45,2.9,0,0.25,0.0,1,0,False,,False
15m,okx,1INCH_USDT_SWAP,38499,2025-06-03,2026-07-09 13:45,2.9,0,0.25,0.0,1,0,False,,False
15m,okx,2Z_USDT_SWAP,26884,2025-10-02,2026-07-09 13:45,2.9,0,0.25,0.0,1,0,False,,False
15m,okx,AAPL_USDT_SWAP,12215,2026-03-04,2026-07-09 13:45,2.9,0,0.25,0.034,0,0,True,zero_vol>0.02,True
15m,gate,AAVE_USDT,9382,2026-03-29,2026-07-04 19:00,117.6,0,0.25,0.0001,0,0,True,stale>48.0h,False
15m,okx,AAVE_USDT,38692,2025-06-01,2026-07-09 13:30,3.1,0,0.25,0.0,1,0,False,,False
15m,okx,AAVE_USDT_SWAP,38588,2025-06-02,2026-07-09 13:30,3.1,0,0.25,0.0,1,0,False,,False
15m,okx,ACH_USDT_SWAP,38499,2025-06-03,2026-07-09 13:45,2.9,0,0.25,0.0,1,0,False,,False
15m,gate,ACT_USDT,9465,2026-03-28,2026-07-04 19:00,117.6,0,0.25,0.0586,0,0,True,zero_vol>0.02|stale>48.0h,True
15m,okx,ACT_USDT_SWAP,38499,2025-06-03,2026-07-09 13:45,2.9,0,0.25,0.0,3,0,True,spikes>=3,False
15m,okx,ACU_USDT_SWAP,16060,2026-01-23,2026-07-09 13:45,2.9,0,0.25,0.0002,0,0,False,,False
15m,gate,ADA_USDT,9381,2026-03-29,2026-07-04 18:45,117.9,0,0.25,0.0001,0,0,True,stale>48.0h,False
15m,okx,ADA_USDT,38692,2025-06-01,2026-07-09 13:30,3.1,0,0.25,0.0,2,0,False,,False
15m,okx,ADA_USDT_SWAP,38588,2025-06-02,2026-07-09 13:30,3.1,0,0.25,0.0,2,0,False,,False
15m,okx,ADBE_USDT_SWAP,3474,2026-06-03,2026-07-09 13:45,2.9,0,0.25,0.1503,0,0,True,zero_vol>0.02,True
15m,gate,AERO_USDT,3000,2026-06-03,2026-07-04 19:00,117.6,1,0.5,0.0187,0,0,True,stale>48.0h,False
15m,okx,AERO_USDT_SWAP,35647,2025-07-03,2026-07-09 13:45,2.9,0,0.25,0.0,0,0,False,,False
15m,okx,AEVO_USDT_SWAP,38499,2025-06-03,2026-07-09 14:00,2.6,0,0.25,0.0,2,0,False,,False
15m,gate,AGLD_USDT,9012,2026-03-29,2026-06-30 23:00,209.6,0,0.25,0.2378,0,0,True,zero_vol>0.02|stale>48.0h,True
15m,okx,AGLD_USDT_SWAP,38499,2025-06-03,2026-07-09 14:00,2.6,0,0.25,0.0,0,0,False,,False
15m,gate,AIGENSYN_USDT,6118,2026-04-29,2026-07-02 07:00,177.6,0,0.25,0.0049,2,0,True,stale>48.0h,False
15m,okx,AIXBT_USDT_SWAP,38499,2025-06-03,2026-07-09 14:00,2.6,0,0.25,0.0,2,0,False,,False
15m,okx,AI_USDT_SWAP,6825,2026-04-29,2026-07-09 14:00,2.6,0,0.25,0.0,2,0,False,,False
15m,gate,AKE_USDT,3000,2026-06-03,2026-07-04 19:00,117.6,1,0.5,0.0067,0,0,True,stale>48.0h,False
15m,okx,ALAB_USDT_SWAP,2229,2026-06-16,2026-07-09 14:00,2.6,0,0.25,0.0592,0,0,True,zero_vol>0.02,True
15m,okx,ALGO_USDT_SWAP,38499,2025-06-03,2026-07-09 14:00,2.6,0,0.25,0.0,0,0,False,,False
15m,gate,ALLO_USDT,9251,2026-03-30,2026-07-04 19:00,117.6,0,0.25,0.0261,0,0,True,zero_vol>0.02|stale>48.0h,False
15m,okx,ALLO_USDT,17699,2025-12-16,2026-06-18 14:30,506.1,0,0.25,0.0263,0,0,True,zero_vol>0.02|stale>48.0h,False
15m,okx,ALLO_USDT_SWAP,23030,2025-11-11,2026-07-09 14:00,2.6,0,0.25,0.0,0,0,False,,False
15m,okx,AMAT_USDT_SWAP,4053,2026-05-28,2026-07-09 14:00,2.6,0,0.25,0.035,0,0,True,zero_vol>0.02,True
15m,okx,AMD_USDT_SWAP,11537,2026-03-11,2026-07-09 14:00,2.6,0,0.25,0.0468,0,0,True,zero_vol>0.02,True
15m,okx,AMZN_USDT_SWAP,12795,2026-02-26,2026-07-09 14:00,2.6,0,0.25,0.0323,0,0,True,zero_vol>0.02,True
15m,okx,ANIME_USDT_SWAP,1499,2026-06-19,2026-07-04 18:45,117.9,0,0.25,0.0,0,0,True,stale>48.0h,False
15m,okx,ANTHROPIC_USDT_SWAP,6068,2026-05-07,2026-07-09 14:15,2.4,0,0.25,0.0013,1,0,False,,False
15m,okx,APE_USDT,38690,2025-06-01,2026-07-09 13:30,3.1,0,0.25,0.0001,2,0,False,,False
15m,okx,APE_USDT_SWAP,38588,2025-06-02,2026-07-09 13:30,3.1,0,0.25,0.0,3,0,True,spikes>=3,False
15m,okx,API3_USDT_SWAP,38499,2025-06-03,2026-07-09 14:15,2.4,0,0.25,0.0,2,0,False,,False
15m,okx,APLD_USDT_SWAP,308,2026-07-06,2026-07-09 14:15,2.4,0,0.25,0.0487,0,0,True,zero_vol>0.02,True
15m,gate,APR_USDT,9081,2026-03-29,2026-07-02 06:30,178.1,0,0.25,0.0692,0,0,True,zero_vol>0.02|stale>48.0h,True
15m,okx,APR_USDT_SWAP,24802,2025-10-24,2026-07-09 14:15,2.4,0,0.25,0.0,0,0,False,,False
15m,okx,APT_USDT,38691,2025-06-01,2026-07-09 13:30,3.1,0,0.25,0.0,1,0,False,,False
15m,okx,APT_USDT_SWAP,38588,2025-06-02,2026-07-09 13:30,3.1,0,0.25,0.0,1,0,False,,False
15m,gate,ARB_USDT,9388,2026-03-29,2026-07-04 19:00,117.6,0,0.25,0.0001,0,0,True,stale>48.0h,False
15m,okx,ARB_USDT,38689,2025-06-01,2026-07-09 13:30,3.1,0,0.25,0.0001,1,0,False,,False
15m,okx,ARB_USDT_SWAP,38588,2025-06-02,2026-07-09 13:30,3.1,0,0.25,0.0,1,0,False,,False
15m,okx,ARKM_USDT_SWAP,38499,2025-06-03,2026-07-09 14:15,2.4,0,0.25,0.0,2,0,False,,False
15m,okx,ARM_USDT_SWAP,6849,2026-04-29,2026-07-09 14:15,2.4,0,0.25,0.0066,0,0,False,,False
15m,gate,ARPA_USDT,3000,2026-06-03,2026-07-04 19:00,117.6,1,0.5,0.0793,0,0,True,zero_vol>0.02|stale>48.0h,True
15m,okx,ARX_USDT_SWAP,1640,2026-06-22,2026-07-09 14:15,2.4,0,0.25,0.0,1,0,False,,False
15m,okx,AR_USDT_SWAP,38499,2025-06-03,2026-07-09 14:15,2.4,0,0.25,0.0,2,0,False,,False
15m,okx,ASML_USDT_SWAP,3475,2026-06-03,2026-07-09 14:15,2.4,0,0.25,0.0576,0,0,True,zero_vol>0.02,True
15m,okx,ASTER_USDT,17699,2025-12-16,2026-06-18 14:30,506.1,0,0.25,0.0014,0,0,True,stale>48.0h,False
15m,okx,ASTER_USDT_SWAP,27878,2025-09-22,2026-07-09 14:15,2.4,0,0.25,0.0,1,0,False,,False
15m,okx,ASTS_USDT_SWAP,3565,2026-06-02,2026-07-09 14:15,2.4,0,0.25,0.0039,0,0,False,,False
15m,okx,ATH_USDT_SWAP,38499,2025-06-03,2026-07-09 14:15,2.4,0,0.25,0.0,0,0,False,,False
15m,okx,ATOM_USDT,38691,2025-06-01,2026-07-09 13:30,3.1,0,0.25,0.0005,1,0,False,,False
15m,okx,ATOM_USDT_SWAP,38588,2025-06-02,2026-07-09 13:30,3.1,0,0.25,0.0,1,0,False,,False
15m,gate,AT_USDT,3000,2026-06-03,2026-07-04 19:00,117.6,1,0.5,0.051,0,0,True,zero_vol>0.02|stale>48.0h,True
15m,okx,AT_USDT_SWAP,24210,2025-10-30,2026-07-09 14:15,2.4,0,0.25,0.0006,0,0,False,,False
15m,okx,AUCTION_USDT_SWAP,38499,2025-06-03,2026-07-09 14:30,2.1,0,0.25,0.0,2,0,False,,False
15m,gate,AVAX_USDT,9382,2026-03-29,2026-07-04 19:00,117.6,0,0.25,0.0001,0,0,True,stale>48.0h,False
15m,okx,AVAX_USDT,38692,2025-06-01,2026-07-09 13:30,3.1,0,0.25,0.0,1,0,False,,False
15m,okx,AVAX_USDT_SWAP,38588,2025-06-02,2026-07-09 13:30,3.1,0,0.25,0.0,1,0,False,,False
15m,gate,AVA_USDT,3000,2026-06-03,2026-07-04 19:00,117.6,1,0.5,0.4903,0,0,True,zero_vol>0.02|stale>48.0h,True
15m,okx,AVGO_USDT_SWAP,6851,2026-04-29,2026-07-09 14:30,2.1,0,0.25,0.0117,0,0,False,,False
15m,okx,AVNT_USDT_SWAP,27837,2025-09-22,2026-07-09 14:30,2.1,0,0.25,0.0,2,0,False,,False
15m,okx,AXS_USDT_SWAP,38499,2025-06-03,2026-07-09 14:30,2.1,0,0.25,0.0,1,0,False,,False
15m,okx,AXTI_USDT_SWAP,2229,2026-06-16,2026-07-09 14:30,2.1,0,0.25,0.0031,0,0,False,,False
15m,okx,AZTEC_USDT_SWAP,14226,2026-02-11,2026-07-09 14:45,1.9,0,0.25,0.0002,1,0,False,,False
15m,gate,A_USDT,3000,2026-06-03,2026-07-04 19:00,117.6,1,0.5,0.1087,0,0,True,zero_vol>0.02|stale>48.0h,True
15m,okx,A_USDT_SWAP,38499,2025-06-03,2026-07-09 13:45,2.9,0,0.25,0.0,1,0,False,,False
15m,gate,B2_USDT,3000,2026-06-03,2026-07-04 19:00,117.6,1,0.5,0.0753,0,0,True,zero_vol>0.02|stale>48.0h,True
15m,okx,BABY_USDT_SWAP,38499,2025-06-03,2026-07-09 14:45,1.9,0,0.25,0.0001,4,0,True,spikes>=3,False
15m,okx,BAND_USDT_SWAP,38499,2025-06-03,2026-07-09 14:45,1.9,0,0.25,0.0001,1,0,False,,False
15m,gate,BANK_USDT,9007,2026-03-30,2026-07-02 11:15,173.4,0,0.25,0.1499,0,0,True,zero_vol>0.02|stale>48.0h,True
15m,okx,BARD_USDT_SWAP,28236,2025-09-18,2026-07-09 14:45,1.9,0,0.25,0.0,1,0,False,,False
15m,gate,BASED_USDT,9257,2026-03-30,2026-07-04 19:00,117.6,0,0.25,0.0006,0,0,True,stale>48.0h,False
15m,okx,BASED_USDT,7690,2026-03-30,2026-06-18 12:15,508.4,0,0.25,0.0,0,0,True,stale>48.0h,False
15m,okx,BASED_USDT_SWAP,9714,2026-03-30,2026-07-09 14:45,1.9,0,0.25,0.0,0,0,False,,False
15m,gate,BAS_USDT,9388,2026-03-29,2026-07-04 19:00,117.6,0,0.25,0.0089,0,0,True,stale>48.0h,False
15m,okx,BAT_USDT_SWAP,38499,2025-06-03,2026-07-09 14:45,1.9,0,0.25,0.0001,0,0,False,,False
15m,okx,BB_USDT_SWAP,3672,2026-06-01,2026-07-09 14:45,1.9,0,0.25,0.033,0,0,True,zero_vol>0.02,False
15m,gate,BCH_USDT,9382,2026-03-29,2026-07-04 19:00,117.6,0,0.25,0.0002,0,0,True,stale>48.0h,False
15m,okx,BCH_USDT,38692,2025-06-01,2026-07-09 13:30,3.1,0,0.25,0.0002,0,0,False,,False
15m,okx,BCH_USDT_SWAP,38488,2025-06-03,2026-07-09 13:30,3.1,0,0.25,0.0,0,0,False,,False
15m,gate,BEAT_USDT,9465,2026-03-28,2026-07-04 19:00,117.6,0,0.25,0.0001,0,0,True,stale>48.0h,False
15m,okx,BEAT_USDT_SWAP,22939,2025-11-12,2026-07-09 14:45,1.9,0,0.25,0.0,3,0,True,spikes>=3,False
15m,gate,BEL_USDT,3000,2026-06-03,2026-07-04 19:00,117.6,1,0.5,0.105,0,0,True,zero_vol>0.02|stale>48.0h,True
15m,okx,BERA_USDT_SWAP,38499,2025-06-03,2026-07-09 14:45,1.9,0,0.25,0.0,3,0,True,spikes>=3,False
15m,okx,BE_USDT_SWAP,4144,2026-05-27,2026-07-09 14:45,1.9,0,0.25,0.0304,0,0,True,zero_vol>0.02,False
15m,okx,BICO_USDT_SWAP,38499,2025-06-03,2026-07-09 14:45,1.9,0,0.25,0.0,2,0,False,,False
15m,okx,BIGTIME_USDT_SWAP,38499,2025-06-03,2026-07-09 15:00,1.6,0,0.25,0.0,2,0,False,,False
15m,okx,BILL_USDT_SWAP,6173,2026-05-06,2026-07-09 15:00,1.6,0,0.25,0.0,0,0,False,,False
15m,gate,BIO_USDT,9097,2026-03-29,2026-07-02 06:30,178.1,0,0.25,0.0042,0,0,True,stale>48.0h,False
15m,okx,BIO_USDT,17699,2025-12-16,2026-06-18 14:30,506.1,0,0.25,0.0051,0,0,True,stale>48.0h,False
15m,okx,BIO_USDT_SWAP,38499,2025-06-03,2026-07-09 15:00,1.6,0,0.25,0.0,1,0,False,,False
15m,gate,BIRB_USDT,9258,2026-03-30,2026-07-04 19:00,117.6,0,0.25,0.1204,0,0,True,zero_vol>0.02|stale>48.0h,True
15m,okx,BLEND_USDT_SWAP,6837,2026-04-29,2026-07-09 15:00,1.6,0,0.25,0.0003,0,0,False,,False
15m,okx,BLUR_USDT_SWAP,38499,2025-06-03,2026-07-09 15:00,1.6,0,0.25,0.0,2,0,False,,False
15m,okx,BMNR_USDT_SWAP,7009,2026-04-27,2026-07-09 15:00,1.6,0,0.25,0.0516,0,0,True,zero_vol>0.02,True
15m,gate,BNB_USDT,9381,2026-03-29,2026-07-04 18:45,117.9,0,0.25,0.0001,0,0,True,stale>48.0h,False
15m,okx,BNB_USDT,38692,2025-06-01,2026-07-09 13:30,3.1,0,0.25,0.0,0,0,False,,False
15m,okx,BNB_USDT_SWAP,38588,2025-06-02,2026-07-09 13:30,3.1,0,0.25,0.0,0,0,False,,False
15m,okx,BOME_USDT_SWAP,38499,2025-06-03,2026-07-09 15:00,1.6,0,0.25,0.0,3,0,True,spikes>=3,False
15m,gate,BONK_USDT,3000,2026-06-03,2026-07-04 19:00,117.6,1,0.5,0.014,0,0,True,stale>48.0h,False
15m,okx,BONK_USDT_SWAP,38499,2025-06-03,2026-07-09 15:00,1.6,0,0.25,0.0,2,0,False,,False
15m,okx,BOT_USDT_SWAP,693,2026-07-02,2026-07-09 15:00,1.6,0,0.25,0.0087,0,0,False,,False
15m,okx,BRETT_USDT_SWAP,38499,2025-06-03,2026-07-09 15:00,1.6,0,0.25,0.0012,2,0,False,,False
15m,gate,BREV_USDT,9027,2026-03-30,2026-07-02 12:45,171.9,0,0.25,0.1746,0,0,True,zero_vol>0.02|stale>48.0h,True
15m,okx,BREV_USDT_SWAP,18346,2025-12-30,2026-07-09 15:15,1.4,0,0.25,0.0002,0,0,False,,False
15m,gate,BROCCOLI_USDT,3000,2026-06-03,2026-07-04 19:00,117.6,1,0.5,0.136,0,0,True,zero_vol>0.02|stale>48.0h,True
15m,gate,BSB_USDT,9388,2026-03-29,2026-07-04 19:00,117.6,0,0.25,0.0014,3,0,True,spikes>=3|stale>48.0h,False
15m,okx,BSB_USDT_SWAP,9430,2026-04-02,2026-07-09 15:15,1.4,0,0.25,0.0,3,0,True,spikes>=3,False
15m,okx,BSP_USDT_SWAP,314,2026-07-06,2026-07-09 15:15,1.4,0,0.25,0.0,0,0,False,,False
15m,gate,BSV_USDT,9071,2026-03-29,2026-07-02 06:30,178.1,0,0.25,0.0304,0,0,True,zero_vol>0.02|stale>48.0h,False
15m,gate,BTC_USDT,9381,2026-03-29,2026-07-04 18:45,117.9,0,0.25,0.0,0,0,True,stale>48.0h,False
15m,okx,BTC_USDT,38692,2025-06-01,2026-07-09 13:30,3.1,0,0.25,0.0,0,0,False,,False
15m,okx,BTC_USDT_SWAP,38587,2025-06-02,2026-07-09 13:30,3.1,0,0.25,0.0,0,0,False,,False
15m,gate,BTW_USDT,2905,2026-06-04,2026-07-04 19:00,117.6,0,0.25,0.0,2,0,True,stale>48.0h,False
15m,gate,BULLA_USDT,3000,2026-06-03,2026-07-04 19:00,117.6,1,0.5,0.075,0,0,True,zero_vol>0.02|stale>48.0h,True
15m,okx,BX_USDT_SWAP,2617,2026-06-12,2026-07-09 15:15,1.4,0,0.25,0.2874,0,0,True,zero_vol>0.02,True
15m,gate,BZ_USDT,6047,2026-04-30,2026-07-02 07:00,177.6,0,0.25,0.0002,0,0,True,stale>48.0h,False
15m,okx,BZ_USDT_SWAP,10294,2026-03-24,2026-07-09 15:15,1.4,0,0.25,0.0,0,0,False,,False
15m,gate,B_USDT,9235,2026-03-30,2026-07-04 19:00,117.6,0,0.25,0.0297,3,0,True,zero_vol>0.02|spikes>=3|stale>48.0h,False
15m,gate,CAP_USDT,702,2026-06-27,2026-07-04 19:00,117.6,0,0.25,0.0,0,0,True,stale>48.0h,False
15m,okx,CAP_USDT_SWAP,1260,2026-06-26,2026-07-09 15:15,1.4,0,0.25,0.0,0,0,False,,False
15m,okx,CC_USDT_SWAP,24102,2025-10-31,2026-07-09 15:15,1.4,0,0.25,0.0001,0,0,False,,False
15m,okx,CELO_USDT_SWAP,38499,2025-06-03,2026-07-09 15:15,1.4,0,0.25,0.0,1,0,False,,False
15m,okx,CFX_USDT,38690,2025-06-01,2026-07-09 13:30,3.1,0,0.25,0.0006,2,0,False,,False
15m,okx,CFX_USDT_SWAP,38587,2025-06-02,2026-07-09 13:30,3.1,0,0.25,0.0,1,0,False,,False
15m,okx,CGNX_USDT_SWAP,2615,2026-06-12,2026-07-09 15:15,1.4,0,0.25,0.3224,0,0,True,zero_vol>0.02,True
15m,gate,CHILLGUY_USDT,3000,2026-06-03,2026-07-04 19:00,117.6,1,0.5,0.0183,0,0,True,stale>48.0h,False
15m,okx,CHIP_USDT_SWAP,7590,2026-04-21,2026-07-09 15:15,1.4,0,0.25,0.0,0,0,False,,False
15m,gate,CHZ_USDT,9014,2026-03-29,2026-06-30 23:00,209.6,0,0.25,0.003,0,0,True,stale>48.0h,False
15m,okx,CHZ_USDT,38690,2025-06-01,2026-07-09 13:30,3.1,0,0.25,0.0016,1,0,False,,False
15m,okx,CHZ_USDT_SWAP,38587,2025-06-02,2026-07-09 13:30,3.1,0,0.25,0.0,1,0,False,,False
15m,okx,CIEN_USDT_SWAP,2713,2026-06-11,2026-07-09 15:15,1.4,0,0.25,0.2337,0,0,True,zero_vol>0.02,True
15m,gate,CLO_USDT,9020,2026-03-29,2026-06-30 23:00,209.6,0,0.25,0.0392,1,0,True,zero_vol>0.02|stale>48.0h,False
15m,okx,COAI_USDT_SWAP,25636,2025-10-15,2026-07-09 15:15,1.4,0,0.25,0.0,0,0,False,,False
15m,okx,COHR_USDT_SWAP,5494,2026-05-13,2026-07-09 15:15,1.4,0,0.25,0.024,0,0,True,zero_vol>0.02,False
15m,okx,COIN_USDT_SWAP,12799,2026-02-26,2026-07-09 15:15,1.4,0,0.25,0.0048,0,0,False,,False
15m,okx,COMP_USDT_SWAP,38499,2025-06-03,2026-07-09 15:15,1.4,0,0.25,0.0,1,0,False,,False
15m,gate,COOKIE_USDT,3000,2026-06-03,2026-07-04 19:00,117.6,1,0.5,0.0163,0,0,True,stale>48.0h,False
15m,okx,CORE_USDT_SWAP,38499,2025-06-03,2026-07-09 15:15,1.4,0,0.25,0.0,2,0,False,,False
15m,okx,COST_USDT_SWAP,7013,2026-04-27,2026-07-09 15:15,1.4,0,0.25,0.1549,0,0,True,zero_vol>0.02,True
15m,okx,CRCL_USDT_SWAP,12799,2026-02-26,2026-07-09 15:30,1.1,0,0.25,0.0002,0,0,False,,False
15m,okx,CRDO_USDT_SWAP,2715,2026-06-11,2026-07-09 15:30,1.1,0,0.25,0.1164,0,0,True,zero_vol>0.02,True
15m,okx,CRO_USDT_SWAP,38499,2025-06-03,2026-07-09 15:30,1.1,0,0.25,0.0,0,0,False,,False
15m,gate,CRV_USDT,3000,2026-06-03,2026-07-04 19:00,117.6,1,0.5,0.003,0,0,True,stale>48.0h,False
15m,okx,CRV_USDT,38690,2025-06-01,2026-07-09 13:30,3.1,0,0.25,0.0016,2,0,False,,False
15m,okx,CRV_USDT_SWAP,38587,2025-06-02,2026-07-09 13:30,3.1,0,0.25,0.0,2,0,False,,False
15m,okx,CRWD_USDT_SWAP,4249,2026-05-26,2026-07-09 15:30,1.1,0,0.25,0.1706,1,0,True,zero_vol>0.02,True
15m,okx,CRWV_USDT_SWAP,8655,2026-04-10,2026-07-09 15:30,1.1,0,0.25,0.0085,0,0,False,,False
15m,okx,CSCO_USDT_SWAP,4920,2026-05-19,2026-07-09 15:30,1.1,0,0.25,0.2632,0,0,True,zero_vol>0.02,True
15m,okx,CVX_USDT_SWAP,38499,2025-06-03,2026-07-09 15:30,1.1,0,0.25,0.0003,2,0,False,,False
15m,okx,DASH_USDT_SWAP,23571,2025-11-06,2026-07-09 15:30,1.1,0,0.25,0.0,0,0,False,,False
15m,gate,DEEP_USDT,9012,2026-03-30,2026-07-02 11:00,173.6,0,0.25,0.0217,0,0,True,zero_vol>0.02|stale>48.0h,False
15m,okx,DELL_USDT_SWAP,4058,2026-05-28,2026-07-09 15:30,1.1,0,0.25,0.0382,0,0,True,zero_vol>0.02,False
15m,gate,DEXE_USDT,3000,2026-06-03,2026-07-04 19:00,117.6,1,0.5,0.0007,0,0,True,stale>48.0h,False
15m,okx,DKNG_USDT_SWAP,2040,2026-06-18,2026-07-09 15:30,1.1,0,0.25,0.3015,0,0,True,zero_vol>0.02,True
15m,gate,DOGE_USDT,9381,2026-03-29,2026-07-04 18:45,117.9,0,0.25,0.0,0,0,True,stale>48.0h,False
15m,okx,DOGE_USDT,38692,2025-06-01,2026-07-09 13:30,3.1,0,0.25,0.0,0,0,False,,False
15m,okx,DOGE_USDT_SWAP,38587,2025-06-02,2026-07-09 13:30,3.1,0,0.25,0.0,0,0,False,,False
15m,gate,DOGS_USDT,3000,2026-06-03,2026-07-04 19:00,117.6,1,0.5,0.0343,0,0,True,zero_vol>0.02|stale>48.0h,False
15m,okx,DOOD_USDT_SWAP,38499,2025-06-03,2026-07-09 15:30,1.1,0,0.25,0.0,1,0,False,,False
15m,gate,DOT_USDT,9236,2026-03-30,2026-07-04 19:00,117.6,0,0.25,0.0011,0,0,True,stale>48.0h,False
15m,okx,DOT_USDT,38692,2025-06-01,2026-07-09 13:30,3.1,0,0.25,0.0,2,0,False,,False
15m,okx,DOT_USDT_SWAP,38587,2025-06-02,2026-07-09 13:30,3.1,0,0.25,0.0,2,0,False,,False
15m,gate,DRAM_USDT,4345,2026-05-18,2026-07-02 12:30,172.1,0,0.25,0.0009,0,0,True,stale>48.0h,False
15m,okx,DRAM_USDT_SWAP,5979,2026-05-08,2026-07-09 15:30,1.1,0,0.25,0.0005,0,0,False,,False
15m,gate,DYDX_USDT,9354,2026-03-29,2026-07-04 19:00,117.6,0,0.25,0.0001,0,0,True,stale>48.0h,False
15m,okx,DYDX_USDT_SWAP,38499,2025-06-03,2026-07-09 15:30,1.1,0,0.25,0.0,2,0,False,,False
15m,gate,DYM_USDT,3000,2026-06-03,2026-07-04 19:00,117.6,1,0.5,0.0283,0,0,True,zero_vol>0.02|stale>48.0h,False
15m,okx,EDEN_USDT_SWAP,27090,2025-09-30,2026-07-09 15:45,0.9,0,0.25,0.0,3,0,True,spikes>=3,False
15m,okx,EDGE_USDT,2311,2026-05-24,2026-06-18 00:15,520.4,0,0.25,0.0,3,0,True,spikes>=3|stale>48.0h,False
15m,okx,EDGE_USDT_SWAP,9514,2026-04-01,2026-07-09 15:45,0.9,0,0.25,0.0,3,0,True,spikes>=3,False
15m,gate,EGLD_USDT,9388,2026-03-29,2026-07-04 19:00,117.6,0,0.25,0.0115,0,0,True,stale>48.0h,False
15m,okx,EGLD_USDT_SWAP,38499,2025-06-03,2026-07-09 15:45,0.9,0,0.25,0.0,2,0,False,,False
15m,gate,EIGEN_USDT,3000,2026-06-03,2026-07-04 19:00,117.6,1,0.5,0.0,0,0,True,stale>48.0h,False
15m,okx,EIGEN_USDT,38690,2025-06-01,2026-07-09 13:30,3.1,0,0.25,0.0052,2,0,False,,False
15m,okx,EIGEN_USDT_SWAP,38587,2025-06-02,2026-07-09 13:30,3.1,0,0.25,0.0,2,0,False,,False
